user,rating,review,date,likes
Rahul_M,2,"Same 10 songs keep repeating on my daily mix. I've heard Kesariya probably 500 times this month. Where's the variety?",2026-06-20,45
Priya_S,1,"The recommendation algorithm is terrible. It just plays whatever is trending on Bollywood charts. I want to discover new indie artists but Gaana has no idea what I like.",2026-06-21,89
Aman_K,3,"App is okay but the autoplay feature keeps playing the same artists. Spotify's Discover Weekly is miles ahead. Gaana needs something similar.",2026-06-19,32
Neha_R,1,"I created 5 different playlists to tell the app my taste and it STILL recommends mainstream Bollywood. Very frustrating.",2026-06-22,67
Vikram_T,2,"The music library is huge but I can never find anything new. The explore section just shows trending songs, not personalized picks.",2026-06-18,28
Anjali_D,4,"Good app overall but wish the radio feature was smarter. It just plays random songs with no connection to what I was listening to.",2026-06-17,15
Suresh_P,1,"Worst recommendation system I've ever seen. I listen to classical fusion and it recommends Yo Yo Honey Singh. Makes no sense.",2026-06-23,112
Meera_V,2,"Why does Gaana keep recommending the same 50 popular songs? I want to find hidden gems, underground artists, new releases from small artists.",2026-06-21,78
Karthik_N,3,"Discovery is the biggest weakness. I switched from Spotify and I miss Discover Weekly badly. Gaana has no equivalent feature.",2026-06-20,54
Divya_L,1,"The app has no memory. I skip a song and it plays the same song again 10 minutes later. The algorithm doesn't learn from my behavior.",2026-06-22,91
Rohit_A,2,"Playlist recommendations are stuck in 2020. They keep recommending old Bollywood. No awareness of new independent music scene.",2026-06-19,43
Sneha_G,4,"App works fine but I wish there was a mood-based discovery feature. Like if I'm working, suggest focus music. Currently it just plays whatever.",2026-06-18,22
Aditya_B,1,"Downloaded because of the regional music library but the recommendation engine shows no regional content. It's all Hindi mainstream.",2026-06-23,88
Pooja_M,3,"The weekly mixes are disappointing. Same songs every week. Not learning what I like at all. My listening history means nothing to the algorithm.",2026-06-20,37
Harish_C,2,"I love Punjabi music but Gaana recommends me Tamil songs I never listen to. The personalization is completely broken.",2026-06-21,61
Lakshmi_R,1,"Been using for 3 months. The app still doesn't know my taste. Every recommendation feels random. No intelligence behind it.",2026-06-22,95
Gaurav_S,4,"Decent app but the explore feature is useless for discovery. It's just a trending chart. I want AI-powered suggestions based on my mood.",2026-06-17,19
Kritika_T,2,"Why is there no 'because you listened to X' feature? Spotify does this perfectly. Gaana just dumps popular songs on me.",2026-06-20,56
Manish_V,1,"The radio feature is a disaster. I start a radio from one song and within 3 tracks it's playing completely unrelated songs.",2026-06-23,73
Ananya_K,3,"Good music library but poor discovery tools. I end up going to YouTube to find new songs then come back to Gaana to listen.",2026-06-19,41
Deepak_R,2,"I follow 20 artists but Gaana never notifies me about their new releases. Discovery is completely passive, no proactive features.",2026-06-21,67
Shreya_B,1,"The app treats all users the same. Whether you listen to ghazals or EDM, you get the same Bollywood recommendations. Zero personalization.",2026-06-22,84
Nikhil_A,4,"Nice interface but the AI needs a lot of work. The more I use it, the worse the recommendations seem to get. Very counterintuitive.",2026-06-18,29
Pallavi_S,2,"I specifically disliked certain songs but they still show up in my feed. The feedback loop is completely broken.",2026-06-20,52
Rajan_M,1,"Switched back to Spotify after 2 months. Gaana's discovery is 5 years behind. No contextual recommendations, no mood detection, nothing.",2026-06-23,108
Sunita_V,3,"The app is fine for playing songs I already know. But for finding new music? Completely useless. Just shows what's popular.",2026-06-19,38
Arjun_D,2,"My daily mix is literally the same 20 songs every single day. What's the point of calling it a 'mix'?",2026-06-21,79
Rekha_T,4,"Good regional content but the recommendation engine doesn't understand regional preferences. Mixes Telugu and Tamil randomly.",2026-06-17,24
Sameer_K,1,"The algorithm has no context awareness. I listen to sad songs after a breakup and it starts my morning with the same sad playlist. No mood detection.",2026-06-22,97
Tanvi_L,2,"Been requesting a 'new releases from artists I follow' feature for years. Still not there. How does Gaana not have this basic feature?",2026-06-20,63
